username,timestamp,content,mentions,hashtags,clean_content,signal
Stock Mantra,2025-07-11 18:25:41+00:00,"Stock Mantra
@trade4talks
·
14h
#OPTION & EQUITY 
THERMEX IS NOW READY TO FIRE 
T=> 3900 - 4200
#PFC 440CE 
@17
 AUG EXPIRY LOOKING GOOD 
JOIN US AND SEE THE MAGIC OF QUALITY 
Choose right mentor 
#Wimbledon #UdaipurFilesReleaseKaro #niftycrash #banknifty 
#Bankofbaroda 
JOIN:- https://t.me/Trade4talks
85","@trade4talks, @17","#OPTION, #PFC, #Wimbledon, #UdaipurFilesReleaseKaro, #niftycrash, #banknifty, #Bankofbaroda","stock mantra


14h
option  equity 
thermex is now ready to fire 
t 3900  4200
pfc 440ce 

 aug expiry looking good 
join us and see the magic of quality 
choose right mentor 
wimbledon udaipurfilesreleasekaro niftycrash banknifty 
bankofbaroda 
join 
85",0
BusinessNewsPoint,2025-07-11 18:18:49+00:00,"BusinessNewsPoint
@BusinessNewsPo1
·
15h
#BankNifty Loses 201.30 Points (0.35%) to close at 56754.70
Today’s High – 57091.05
Today’s Low – 56607.75 
52 week High – 57628.40
52 Week Low – 47702.90
#NSE #NiftyBank #StockMarket #StockMarketUpdate #StockMo48ow95arketIndia #Stocks
34",@BusinessNewsPo1,"#BankNifty, #NSE, #NiftyBank, #StockMarket, #StockMarketUpdate, #StockMo48ow95arketIndia, #Stocks","businessnewspoint


15h
banknifty loses 20130 points 035 to close at 5675470
todays high  5709105
todays low  5660775 
52 week high  5762840
52 week low  4770290
nse niftybank stockmarket stockmarketupdate stockmo48ow95arketindia stocks
34",0
Mycalls Trading,2025-07-11 17:15:50+00:00,"Mycalls Trading
@MycallsTrading
·
16h
Today's Call Summary of our paid INDEX group, 

#BANKNIFTY JUL 57100CE, 700 to SL HIT 

#NIFTY 17th JUL 25300PE, 125 to 208.95 

#NIFTY 17th JUL 25200CE, 123 to 109.65 (Live) 

Follow us on TG @ http://t.me/TojoinMyCalls
157",@MycallsTrading,"#BANKNIFTY, #NIFTY, #NIFTY","mycalls trading


16h
todays call summary of our paid index group 

banknifty jul 57100ce 700 to sl hit 

nifty 17th jul 25300pe 125 to 20895 

nifty 17th jul 25200ce 123 to 10965 live 

follow us on tg  
157",0
Stock aaj or kal,2025-07-11 17:14:23+00:00,"Stock aaj or kal
@stockaajorkal
·
16h
Profit flat at Rs 773 cr as higher operating costs offset strong revenue growth
.
.
.
#stockmarket #stocks #finance #money #reels #investment #portfolio #nifty #banknifty
3
342",@stockaajorkal,"#stockmarket, #stocks, #finance, #money, #reels, #investment, #portfolio, #nifty, #banknifty","stock aaj or kal


16h
profit flat at rs 773 cr as higher operating costs offset strong revenue growth



stockmarket stocks finance money reels investment portfolio nifty banknifty
3
342",0
GREWAL,2025-07-11 17:13:00+00:00,"GREWAL@Grewal988·16hReplying to @REDBOXINDIAJust a view....
Next number #Sensex ....mai bhi ...like ...#Nifty  #banknifty .
Now 50% know...its very tough to make consistent profits in #StockMarket  ....do what you are gud in....#invest do #sip #mutalfund etc.....
Rem guyz
No shortcuts are there...Hardwork and Guidance117685","@Grewal988, @REDBOXINDIAJust","#Sensex, #Nifty, #banknifty, #StockMarket, #invest, #sip, #mutalfund","grewal16hreplying to  a view
next number sensex mai bhi like nifty  banknifty 
now 50 knowits very tough to make consistent profits in stockmarket  do what you are gud ininvest do sip mutalfund etc
rem guyz
no shortcuts are therehardwork and guidance117685",-1
GREWAL,2025-07-11 17:13:00+00:00,"GREWAL
@Grewal988
·
16h
Replying to 
@REDBOXINDIA
Just a view....
Next number #Sensex ....mai bhi ...like ...#Nifty  #banknifty .
Now 50% know...its very tough to make consistent profits in #StockMarket  ....do what you are gud in....#invest do #sip #mutalfund etc.....
Rem guyz
No shortcuts are there...Hardwork and Guidance
1
1
7
685","@Grewal988, @REDBOXINDIA","#Sensex, #Nifty, #banknifty, #StockMarket, #invest, #sip, #mutalfund","grewal


16h
replying to 

just a view
next number sensex mai bhi like nifty  banknifty 
now 50 knowits very tough to make consistent profits in stockmarket  do what you are gud ininvest do sip mutalfund etc
rem guyz
no shortcuts are therehardwork and guidance
1
1
7
685",-1
Stock aaj or kal,2025-07-11 17:09:33+00:00,"Stock aaj or kal
@stockaajorkal
·
16h
US markets open with Dow falling 300 points as Trump slaps 35% tariff on Canada, signals wider trade war.
.
.
.
#stockmarket #stocks #finance #money #reels #investment #portfolio #nifty #banknifty
2
270",@stockaajorkal,"#stockmarket, #stocks, #finance, #money, #reels, #investment, #portfolio, #nifty, #banknifty","stock aaj or kal


16h
us markets open with dow falling 300 points as trump slaps 35 tariff on canada signals wider trade war



stockmarket stocks finance money reels investment portfolio nifty banknifty
2
270",0
Green Gann,2025-07-11 16:58:22+00:00,"Green Gann
@Greengann
·
16h
Soon I will start trading Challenge and will show you accuracy of #Gann Studies
All Trades will be posted in real time
#nifty #nifty50 #niftyoptions #banknifty #bankniftyoptions #optionstrading  #stockmarketindia #nse  #technicalanalysis #dalalstreet #intradaytrading #Bearish
Quote
Green Gann
@Greengann
·
16h
People don’t study deeply and end up blaming Gann and astrology. But in the markets, nothing can be more precise than Gann and astrology when understood correctly x.com/Greengann/stat…
206","@Greengann, @Greengann","#Gann, #nifty, #nifty50, #niftyoptions, #banknifty, #bankniftyoptions, #optionstrading, #stockmarketindia, #nse, #technicalanalysis, #dalalstreet, #intradaytrading, #Bearish","green gann


16h
soon i will start trading challenge and will show you accuracy of gann studies
all trades will be posted in real time
nifty nifty50 niftyoptions banknifty bankniftyoptions optionstrading  stockmarketindia nse  technicalanalysis dalalstreet intradaytrading bearish
quote
green gann


16h
people dont study deeply and end up blaming gann and astrology but in the markets nothing can be more precise than gann and astrology when understood correctly xcomgreengannstat
206",-1
Puspendu Roy Karmakar,2025-07-11 16:54:27+00:00,"Puspendu Roy Karmakar
@puspendu789
·
16h
Last week's prediction was very good. Sharing the next week's prediction chart for Nifty 50 in advance.
#Nifty50 #NiftyBank #NiftyMidcap #NIFTYIT #stockmarketcrash #StockMarket #StockMarketIndia #stockmarkets #Stocks #StockMarketNews #StocksToWatch #StocksToBuy #banknifty
149",@puspendu789,"#Nifty50, #NiftyBank, #NiftyMidcap, #NIFTYIT, #stockmarketcrash, #StockMarket, #StockMarketIndia, #stockmarkets, #Stocks, #StockMarketNews, #StocksToWatch, #StocksToBuy, #banknifty","puspendu roy karmakar


16h
last weeks prediction was very good sharing the next weeks prediction chart for nifty 50 in advance
nifty50 niftybank niftymidcap niftyit stockmarketcrash stockmarket stockmarketindia stockmarkets stocks stockmarketnews stockstowatch stockstobuy banknifty
149",1
Mukesh Kompala,2025-07-11 16:41:49+00:00,"Mukesh Kompala
@MukeshKompala
·
16h
All targets done in #Nifty 

Entry at 25516   exit at 25225

#banknifty #astrology #financialastrology
Quote
Mukesh Kompala
@MukeshKompala
·
Jul 10
Only Rs. 450/- 

For complete trade 

Already 177 points profit given x.com/MukeshKompala/…
7
667","@MukeshKompala, @MukeshKompala","#Nifty, #banknifty, #astrology, #financialastrology","mukesh kompala


16h
all targets done in nifty 

entry at 25516   exit at 25225

banknifty astrology financialastrology
quote
mukesh kompala


jul 10
only rs 450 

for complete trade 

already 177 points profit given xcommukeshkompala
7
667",1
Sanyam Vaish,2025-07-11 16:38:51+00:00,"Sanyam Vaish
@Sanyamvaish
·
16h
True Fact
If you think market has gone up too much

#Nifty is just 3% up in last 1 year.

So dont feel too sad if you have made even Nil returns your time will come.

#GIFTNIFTY #StockMarket #trading #Banknifty #investing
2
271",@Sanyamvaish,"#Nifty, #GIFTNIFTY, #StockMarket, #trading, #Banknifty, #investing","sanyam vaish


16h
true fact
if you think market has gone up too much

nifty is just 3 up in last 1 year

so dont feel too sad if you have made even nil returns your time will come

giftnifty stockmarket trading banknifty investing
2
271",0
TheTradewithMe,2025-07-11 16:30:38+00:00,"TheTradewithMe
@TheTradewithMe
·
16h
 Will Nifty fall to 24,800 in the current expiry? 

Vote your view 
#Nifty50 #BankNifty #OptionsTrading #StockMarket #ExpiryDay #FII #FIIDII
Yes, will take support 
Yes, and will fall more 
No, bulls will defend 
31 votes
·
4 days left
1
159",@TheTradewithMe,"#Nifty50, #BankNifty, #OptionsTrading, #StockMarket, #ExpiryDay, #FII, #FIIDII","thetradewithme


16h
 will nifty fall to 24800 in the current expiry 

vote your view 
nifty50 banknifty optionstrading stockmarket expiryday fii fiidii
yes will take support 
yes and will fall more 
no bulls will defend 
31 votes

4 days left
1
159",0
Al Makhtoum,2025-07-11 16:29:58+00:00,"Al Makhtoum
@AlMakhtoum_1
·
16h
Weekend offer  #UnlimitedMoney.

Opening 5 new slots in Premium+ Group .

Unlock exclusive content, perks, and a vibrant community.
Don’t miss out—secure your spot now! 
Dm to join #Trading membership

#Nifty #Sensex #banknifty #Vodafoneidea #yesbank #sbin #Bajajfinance
Show more
4
4
432",@AlMakhtoum_1,"#UnlimitedMoney, #Trading, #Nifty, #Sensex, #banknifty, #Vodafoneidea, #yesbank, #sbin, #Bajajfinance","al makhtoum


16h
weekend offer  unlimitedmoney

opening 5 new slots in premium group 

unlock exclusive content perks and a vibrant community
dont miss outsecure your spot now 
dm to join trading membership

nifty sensex banknifty vodafoneidea yesbank sbin bajajfinance
show more
4
4
432",0
10% swing,2025-07-11 16:29:29+00:00,"10% swing
@rj7trades
·
16h
#INNOVANA

15% in 1 day -massive

#investing #swingtrading #swingtrader #StockAlert #StocksInFocus #StockMarket #MultiBaggerStocks #nifty #banknifty #Optionselling
Quote
10% swing
@rj7trades
·
Jul 9
Replying to @rj7trades
6. INNOVANA THINKLABS 
#INNOVANA
297","@rj7trades, @rj7trades, @rj7trades","#INNOVANA, #investing, #swingtrading, #swingtrader, #StockAlert, #StocksInFocus, #StockMarket, #MultiBaggerStocks, #nifty, #banknifty, #Optionselling, #INNOVANA","10 swing


16h
innovana

15 in 1 day massive

investing swingtrading swingtrader stockalert stocksinfocus stockmarket multibaggerstocks nifty banknifty optionselling
quote
10 swing


jul 9
replying to 
6 innovana thinklabs 
innovana
297",-1
10% swing,2025-07-11 16:26:37+00:00,"10% swing
@rj7trades
·
16h
#BIL

10% in 2 days- massive

#investing #swingtrading #swingtrader #StockAlert #StocksInFocus #StockMarket #MultiBaggerStocks #nifty #banknifty #Optionselling
Quote
10% swing
@rj7trades
·
Jul 9
Replying to @rj7trades
5. BHARATIYA INTERNATIONAL LTD
#BIL
3
312","@rj7trades, @rj7trades, @rj7trades","#BIL, #investing, #swingtrading, #swingtrader, #StockAlert, #StocksInFocus, #StockMarket, #MultiBaggerStocks, #nifty, #banknifty, #Optionselling, #BIL","10 swing


16h
bil

10 in 2 days massive

investing swingtrading swingtrader stockalert stocksinfocus stockmarket multibaggerstocks nifty banknifty optionselling
quote
10 swing


jul 9
replying to 
5 bharatiya international ltd
bil
3
312",-1
Anurag Sharma - NISM CERTIFIED,2025-07-11 16:26:05+00:00,"Anurag Sharma - NISM CERTIFIED
@AnuragS34004450
·
16h
Let's see what happens next  
#Nifty 
#nifty50
#banknifty #NiftyBank
#Nifty #NIFTYFUTURE
#optionbuying #Optionselling
#OptionsTrading
# GOD ABOVE ALL
# Not a Buy or Selling Recommend !!
# Do your own Research !!
AIM Investments and 9 others
2
208",@AnuragS34004450,"#Nifty, #nifty50, #banknifty, #NiftyBank, #Nifty, #NIFTYFUTURE, #optionbuying, #Optionselling, #OptionsTrading","anurag sharma  nism certified


16h
lets see what happens next  
nifty 
nifty50
banknifty niftybank
nifty niftyfuture
optionbuying optionselling
optionstrading
 god above all
 not a buy or selling recommend 
 do your own research 
aim investments and 9 others
2
208",1
10% swing,2025-07-11 16:24:58+00:00,"10% swing
@rj7trades
·
16h
#ENVIROINFRA

18% in 2 days  Massive

#investing #swingtrading #swingtrader #StockAlert #StocksInFocus #StockMarket #MultiBaggerStocks #nifty #banknifty #Optionselling
Quote
10% swing
@rj7trades
·
Jul 9
THURSDAY TRADES 
#THURSDAYTRADES

Few good looking stocks for tomorrow 

NO BUY SELL RECO.ONLY FOR STUDY PURPOSES.

1. ENVIRO INFRA
#EIEL
1
260","@rj7trades, @rj7trades","#ENVIROINFRA, #investing, #swingtrading, #swingtrader, #StockAlert, #StocksInFocus, #StockMarket, #MultiBaggerStocks, #nifty, #banknifty, #Optionselling, #THURSDAYTRADES, #EIEL","10 swing


16h
enviroinfra

18 in 2 days  massive

investing swingtrading swingtrader stockalert stocksinfocus stockmarket multibaggerstocks nifty banknifty optionselling
quote
10 swing


jul 9
thursday trades 
thursdaytrades

few good looking stocks for tomorrow 

no buy sell recoonly for study purposes

1 enviro infra
eiel
1
260",1
Crypto VJ,2025-07-11 16:13:49+00:00,"Crypto VJ
@Crypto_Vijay89
·
17h
Replying to 
@SweeGluTA
#banknifty 55000 
19","@Crypto_Vijay89, @SweeGluTA",#banknifty,"crypto vj


17h
replying to 

banknifty 55000 
19",0
Trade Insight,2025-07-11 16:13:38+00:00,"Trade Insight
@TradeInsightSvc
·
17h
Join Here 
https://telegram.im/InsightServices

#nifty #sensex #banknifty
1
76",@TradeInsightSvc,"#nifty, #sensex, #banknifty","trade insight


17h
join here 


nifty sensex banknifty
1
76",0
EQUIVEST RESEARCH,2025-07-11 16:10:07+00:00,"EQUIVEST RESEARCH
@EquivestR
·
17h
What will the next target for #gold Comment below  also like share 
#stockmarketcrash #banknifty #commodity #gold #silver #stockmarketcrash
2
12
1.3K",@EquivestR,"#gold, #stockmarketcrash, #banknifty, #commodity, #gold, #silver, #stockmarketcrash","equivest research


17h
what will the next target for gold comment below  also like share 
stockmarketcrash banknifty commodity gold silver stockmarketcrash
2
12
13k",1
Derivative Trading Strategies,2025-07-11 16:07:05+00:00,"Derivative Trading Strategies
@HedgingDesk
·
17h
Trading is the Best skill in this Generation.

Skill is the foundation—master it, and the money follows. No shortcuts.

#Nifty #Banknifty #Optionselling #OptionsTrading #HedgingStrategy #optionbuying #StockMarketindia #Indexoptions #niftyOptions #BankNiftyOptions #swingtrading
Show more
1
136",@HedgingDesk,"#Nifty, #Banknifty, #Optionselling, #OptionsTrading, #HedgingStrategy, #optionbuying, #StockMarketindia, #Indexoptions, #niftyOptions, #BankNiftyOptions, #swingtrading","derivative trading strategies


17h
trading is the best skill in this generation

skill is the foundationmaster it and the money follows no shortcuts

nifty banknifty optionselling optionstrading hedgingstrategy optionbuying stockmarketindia indexoptions niftyoptions bankniftyoptions swingtrading
show more
1
136",1
S.Sankar (NISM Certified RA),2025-07-11 15:37:59+00:00,"S.Sankar (NISM Certified RA)
@SankarNism
·
17h
#market #OptionTrading #OptionBuying #OptionSelling #Buy #sell #CrudeOil #NaturalGas #crude #banknifty #nifty #Sensex #fii #dii

Natural Gas 

If I’m not wrong we witness again 280/70 in the coming week 

Let’s see, how it moves 

Not a trading recommendations !!
1
707",@SankarNism,"#market, #OptionTrading, #OptionBuying, #OptionSelling, #Buy, #sell, #CrudeOil, #NaturalGas, #crude, #banknifty, #nifty, #Sensex, #fii, #dii","ssankar nism certified ra


17h
market optiontrading optionbuying optionselling buy sell crudeoil naturalgas crude banknifty nifty sensex fii dii

natural gas 

if im not wrong we witness again 28070 in the coming week 

lets see how it moves 

not a trading recommendations 
1
707",1
Aradhya Gupte,2025-07-11 15:37:54+00:00,"Aradhya Gupte
@aradhya_gupte
·
17h
Replying to 
@siddana73283
You may join my premium telegram subscription where I you can get your analysis reviewed, get access to the charts I share and lots of more services at only 2000/- a month. Let me know if interested. #Nifty50 #banknifty #StockMarket #stocks #elliottwave #gann
2
127","@aradhya_gupte, @siddana73283","#Nifty50, #banknifty, #StockMarket, #stocks, #elliottwave, #gann","aradhya gupte


17h
replying to 

you may join my premium telegram subscription where i you can get your analysis reviewed get access to the charts i share and lots of more services at only 2000 a month let me know if interested nifty50 banknifty stockmarket stocks elliottwave gann
2
127",0
Sanjay Kr Jaiswal (SAK Stocktronix Pvt Ltd),2025-07-11 15:32:17+00:00,"Sanjay Kr Jaiswal (SAK Stocktronix Pvt Ltd)
@snpteam
·
17h
#BankNifty Future *Update 11-07-2025*:

Open: *57075.00*
High: *57225.00*
Low : *56814.00*
Close: *56890.00 - Down by 281.60 points*
Adjusted: *56917.60*

Day Type: *Normal Variation*
*FA [56535] at LOW on 26-06-2025 at T+12 days*
Value Areas: *VAH: 56991, POC: 56903, VAL: 56850*
Show more
1
68",@snpteam,#BankNifty,"sanjay kr jaiswal sak stocktronix pvt ltd


17h
banknifty future update 11072025

open 5707500
high 5722500
low  5681400
close 5689000  down by 28160 points
adjusted 5691760

day type normal variation
fa 56535 at low on 26062025 at t12 days
value areas vah 56991 poc 56903 val 56850
show more
1
68",0
Aradhya Gupte,2025-07-11 15:31:52+00:00,"Aradhya Gupte
@aradhya_gupte
·
17h
PIN POINT! Had forecasted #wipro high conviction #elliottwave count on 3rd Jun and the results are here. 270 target achieved and what followed was a sharp impulsive fall. #Nifty #Nifty50 #niftyit #banknifty #niftybank #SPX500 #NASDAQ100 #SwingTrading #StockMarket #OptionsTrading
Quote
Aradhya Gupte
@aradhya_gupte
·
Jun 3
#Elliottwave analysis of #wipro-
A 5wave sequence pointing downwards completed on 9th May. This 5 wave move could well be compliment of Wave C of Flat. In practical terms, a zigzag pullback upto 270 plausible. #Nifty #nifty50 #niftyit #banknifty #OptionsTrading #DowJones #snp500
1
489","@aradhya_gupte, @aradhya_gupte","#wipro, #elliottwave, #Nifty, #Nifty50, #niftyit, #banknifty, #niftybank, #SPX500, #NASDAQ100, #SwingTrading, #StockMarket, #OptionsTrading, #Elliottwave, #wipro, #Nifty, #nifty50, #niftyit, #banknifty, #OptionsTrading, #DowJones, #snp500","aradhya gupte


17h
pin point had forecasted wipro high conviction elliottwave count on 3rd jun and the results are here 270 target achieved and what followed was a sharp impulsive fall nifty nifty50 niftyit banknifty niftybank spx500 nasdaq100 swingtrading stockmarket optionstrading
quote
aradhya gupte


jun 3
elliottwave analysis of wipro
a 5wave sequence pointing downwards completed on 9th may this 5 wave move could well be compliment of wave c of flat in practical terms a zigzag pullback upto 270 plausible nifty nifty50 niftyit banknifty optionstrading dowjones snp500
1
489",1
QuAlgor,2025-07-11 15:29:29+00:00,"QuAlgor
@StreetTalkMkt21
·
17h
#Nifty Close: 25149.85
Resistance 25343 & 25430
Support 25042 & 24848

#BankNifty Close: 56754.7
Resistance 57088 & 57331
Support 56364 & 55888
#QuAlgor #QuAlgo #Future #Options #Optionstrading #Crude #CommodityTrading #Commodities #AlgoTrading #Gold #Silver #FinNifty #Sensex
234",@StreetTalkMkt21,"#Nifty, #BankNifty, #QuAlgor, #QuAlgo, #Future, #Options, #Optionstrading, #Crude, #CommodityTrading, #Commodities, #AlgoTrading, #Gold, #Silver, #FinNifty, #Sensex","qualgor


17h
nifty close 2514985
resistance 25343  25430
support 25042  24848

banknifty close 567547
resistance 57088  57331
support 56364  55888
qualgor qualgo future options optionstrading crude commoditytrading commodities algotrading gold silver finnifty sensex
234",0
Trading Zone,2025-07-11 15:25:41+00:00,"Trading Zone
@prsablue
·
17h
#BDL
CMP 1856

Highs of bearish engulfing candles always acts as a resistance

Good support zone between 1850-1800

Weak below 1780

#nifty #nifty50 #sensex #stockmarket #banknifty #StocksToWatch #giftnifty #StocksInFocus #stocks
Quote
Trading Zone
@prsablue
·
Jul 10
The breakdown in #BDL was a classic example of a basic candlestick concept, indicating strong overhead resistance.

#nifty #nifty50 #sensex #stockmarket #banknifty #StocksToWatch #giftnifty #StocksInFocus #stocks
2
484","@prsablue, @prsablue","#BDL, #nifty, #nifty50, #sensex, #stockmarket, #banknifty, #StocksToWatch, #giftnifty, #StocksInFocus, #stocks, #BDL, #nifty, #nifty50, #sensex, #stockmarket, #banknifty, #StocksToWatch, #giftnifty, #StocksInFocus, #stocks","trading zone


17h
bdl
cmp 1856

highs of bearish engulfing candles always acts as a resistance

good support zone between 18501800

weak below 1780

nifty nifty50 sensex stockmarket banknifty stockstowatch giftnifty stocksinfocus stocks
quote
trading zone


jul 10
the breakdown in bdl was a classic example of a basic candlestick concept indicating strong overhead resistance

nifty nifty50 sensex stockmarket banknifty stockstowatch giftnifty stocksinfocus stocks
2
484",-1
Sinha Stocks,2025-07-11 15:21:28+00:00,"Sinha Stocks
@SinhaStocks
·
18h
Monday क्या होगा ? Full Course @  99/-  | Sinha Stocks | Nifty - Bank Nifty Prediction 14-07-2025
https://youtu.be/7w8K6EweqzA
For Updates Join Telegram 
http://t.me/sinhastocks
#nifty #optionbuying #banknifty #trading #sinhastocks #stockmarket #CKSinha #MindvsSoul #sensex
170",@SinhaStocks,"#nifty, #optionbuying, #banknifty, #trading, #sinhastocks, #stockmarket, #CKSinha, #MindvsSoul, #sensex","sinha stocks


18h
monday कय हग  full course   99   sinha stocks  nifty  bank nifty prediction 14072025

for updates join telegram 

nifty optionbuying banknifty trading sinhastocks stockmarket cksinha mindvssoul sensex
170",1
StraightTalk,2025-07-11 15:11:53+00:00,"StraightTalk
@TalkTa96656
·
18h
As part of this #Pump&Dump, ⁦
@SEBI_India
⁩ shd investigate ⁦
@ZeeBusiness
⁩ & it’s editor & analysts for last 6 month activity in #Quess & #DdevPlastic. #pricerigging #Nifty #BankNifty #Stocks #Nifty #NSE
SEBI’s Massive Pump-And-Dump Crackdown: Over 200 Companies Likely Under Scanner
From ndtvprofit.com
84","@TalkTa96656, @SEBI_India, @ZeeBusiness","#Pump, #Quess, #DdevPlastic, #pricerigging, #Nifty, #BankNifty, #Stocks, #Nifty, #NSE","straighttalk


18h
as part of this pumpdump 

 shd investigate 

  its editor  analysts for last 6 month activity in quess  ddevplastic pricerigging nifty banknifty stocks nifty nse
sebis massive pumpanddump crackdown over 200 companies likely under scanner
from ndtvprofitcom
84",0
MARKETVIEWER,2025-07-11 15:11:46+00:00,"MARKETVIEWER
@SajeevSNair6
·
18h
#NIFTY #BANKNIFTY #GIFTNIFTY

SILVER MIGHT NEXT #GOLD

XAGUSD

PRICE REJECT! It might not Move easily 39 lets see

38.8   
Quote
MARKETVIEWER
@SajeevSNair6
·
Jun 9
SILVER MIGHT NEXT #GOLD

XAGUSD

Once Clear Today's price, Coming big move!

38.8 x.com/SajeevSNair6/s…
240","@SajeevSNair6, @SajeevSNair6","#NIFTY, #BANKNIFTY, #GIFTNIFTY, #GOLD, #GOLD","marketviewer


18h
nifty banknifty giftnifty

silver might next gold

xagusd

price reject it might not move easily 39 lets see

388   
quote
marketviewer


jun 9
silver might next gold

xagusd

once clear todays price coming big move

388 xcomsajeevsnair6s
240",0
Learning Is Earning Academy,2025-07-11 15:02:39+00:00,"Learning Is Earning Academy
@learning308
·
18h
NIFTY is perfectly dancing to our Harmonic tunes

Nifty has given perfect downside Harmonic PRZ. 

Harmonic means define entry, risk & perfect Harmonic PRZ  

Join telegram, link in Bio  

#Nifty #banknifty #stockmarketcrash #niftycrash #StockMarketNews
1
129",@learning308,"#Nifty, #banknifty, #stockmarketcrash, #niftycrash, #StockMarketNews","learning is earning academy


18h
nifty is perfectly dancing to our harmonic tunes

nifty has given perfect downside harmonic prz 

harmonic means define entry risk  perfect harmonic prz  

join telegram link in bio  

nifty banknifty stockmarketcrash niftycrash stockmarketnews
1
129",0
Eagleintradayteam ,2025-07-11 14:57:03+00:00,"Eagleintradayteam 
@EagleIntraday
·
18h
#stocks #stockmarket #investing #trading #investor #wallstreet #invest #daytrader #finance #forex #daytrading #stocktrading #stockmarketnews #investment #forextrader #crypto #trader #sharemarket #banknifty
36",@EagleIntraday,"#stocks, #stockmarket, #investing, #trading, #investor, #wallstreet, #invest, #daytrader, #finance, #forex, #daytrading, #stocktrading, #stockmarketnews, #investment, #forextrader, #crypto, #trader, #sharemarket, #banknifty","eagleintradayteam 


18h
stocks stockmarket investing trading investor wallstreet invest daytrader finance forex daytrading stocktrading stockmarketnews investment forextrader crypto trader sharemarket banknifty
36",0
Stavan Shah,2025-07-11 14:40:58+00:00,"Stavan Shah
@_ShahStavan_
·
18h
Keep an eye on Western Carriers.. chart looks strong and can see good momentum in price as well.

You will see pause when it touches 145-155 but overall very soon ATH....

#StockMarket #StockMarketIndia #stocks #Nifty #banknifty #NIFTYIT #StocksInFocus #StocksToWatch
119",@_ShahStavan_,"#StockMarket, #StockMarketIndia, #stocks, #Nifty, #banknifty, #NIFTYIT, #StocksInFocus, #StocksToWatch","stavan shah


18h
keep an eye on western carriers chart looks strong and can see good momentum in price as well

you will see pause when it touches 145155 but overall very soon ath

stockmarket stockmarketindia stocks nifty banknifty niftyit stocksinfocus stockstowatch
119",0
Stock Market Prediction,2025-07-11 14:36:47+00:00,"Stock Market India
Stock Market Prediction
@StockMarketPre
·
18h
Indian Market Activity: 11-07-25

#DII NET BUY:₹3,558 Cr
#FII NET SELL:-₹5,104 Cr 

तो ये रहा कारण आज मार्केट गिरने का जम के fii की सेलिंग

#earthquake
#sharemarket #stockmarketcrash #tarrifs #Nifty #banknifty
1
1
223",@StockMarketPre,"#DII, #FII, #earthquake, #sharemarket, #stockmarketcrash, #tarrifs, #Nifty, #banknifty","stock market india
stock market prediction


18h
indian market activity 110725

dii net buy3558 cr
fii net sell5104 cr 

त य रह करण आज मरकट गरन क जम क fii क सलग

earthquake
sharemarket stockmarketcrash tarrifs nifty banknifty
1
1
223",1
Saurabh Vij,2025-07-11 14:30:19+00:00,"Saurabh Vij
@blitheolic
·
18h
#StockMarket #OptionsTrading #BankNifty #NiftyBank #Nifty #FII #DII #FIIDIIData
98",@blitheolic,"#StockMarket, #OptionsTrading, #BankNifty, #NiftyBank, #Nifty, #FII, #DII, #FIIDIIData","saurabh vij


18h
stockmarket optionstrading banknifty niftybank nifty fii dii fiidiidata
98",0
Rakesh Sitharaman,2025-07-11 14:24:37+00:00,"Rakesh Sitharaman
@dstreetstonks
·
18h
Commentary account
Credit card spends in India touched ₹2.35 lakh crore in June 2025, up 23% YoY.

Credit card NPAs ticked up to 2.9% in Q1 FY26, 38% YoY.

Indians are swiping like there’s no tomorrow, but defaults are catching up.
#IndianConsumption #banknifty
1
22",@dstreetstonks,"#IndianConsumption, #banknifty","rakesh sitharaman


18h
commentary account
credit card spends in india touched 235 lakh crore in june 2025 up 23 yoy

credit card npas ticked up to 29 in q1 fy26 38 yoy

indians are swiping like theres no tomorrow but defaults are catching up
indianconsumption banknifty
1
22",0
Stavan Shah,2025-07-11 14:21:21+00:00,"Stavan Shah
@_ShahStavan_
·
19h
Looks like operator is mad.. the stock moved crazily.. And when you will look P&L you will be surprised and in fact the whole company data is surprising

#StockMarket #StockMarketIndia #stocks #Nifty #banknifty #NIFTYIT
111",@_ShahStavan_,"#StockMarket, #StockMarketIndia, #stocks, #Nifty, #banknifty, #NIFTYIT","stavan shah


19h
looks like operator is mad the stock moved crazily and when you will look pl you will be surprised and in fact the whole company data is surprising

stockmarket stockmarketindia stocks nifty banknifty niftyit
111",0
Market Research Analyst (RKSM),2025-07-11 14:21:06+00:00,"Market Research Analyst (RKSM)
@researchrks
·
19h
Kindly do support us & follow for more updates!

#Bitcoin  analyzed by #RKSM (Advanced)

You can make your own decisions!

#BTCUSDT/#BTC -Associate with us for - #Nifty #Nifty50 #BankNifty #Commodities #stocks #gold #Oil #DataDecoder #TrendTracker #StockMarket #MarketInsights
2
163",@researchrks,"#Bitcoin, #RKSM, #BTCUSDT, #BTC, #Nifty, #Nifty50, #BankNifty, #Commodities, #stocks, #gold, #Oil, #DataDecoder, #TrendTracker, #StockMarket, #MarketInsights","market research analyst rksm


19h
kindly do support us  follow for more updates

bitcoin  analyzed by rksm advanced

you can make your own decisions

btcusdtbtc associate with us for  nifty nifty50 banknifty commodities stocks gold oil datadecoder trendtracker stockmarket marketinsights
2
163",0
